Designer,Season,Gender Presentation,Garments,Accessories,Silhouette,Style Keywords,Notes,Unnamed: 9
Unknown,Spring 2010,Feminine,Silver satin mini dress,Black heels,"Straight, relaxed","Minimalist, elegant",Simple and sleek design,
Undercover,Spring 2010,Feminine,"Oversized shirt, cropped pants","Orange handbag, lace-up sandals","Loose, relaxed","Minimalist, utilitarian",Neutral tones with a pop of color,
Nanette Lepore,Spring 2010,Feminine,Striped one-shoulder dress,Yellow open-toe heels,"Straight, mini","Playful, casual",Features multicolored stripes and shoulder embellishment,
Pringle of Scotland,Spring 2010,Feminine,White crochet dress,Brown bracelet,"Fitted, short","Textured, intricate",Detailed crochet pattern,
Pringle of Scotland,Spring 2010,Feminine,"White sheer top, white jacket, white skirt",,"A-line, flowing","Minimalist, clean",Monochrome white ensemble,
Pringle of Scotland,Spring 2010,Feminine,"White sleeveless top, white textured mini skirt",Gray strappy sandals,"A-line, fitted","Minimalist, fresh","Layered textures, monochrome",
Pringle of Scotland,Spring 2010,Masculine,"White textured short-sleeve top, beige trousers",Black shoes,"Relaxed, straight","Casual, clean","Textured knit, neutral tones",
Pringle of Scotland,Spring 2010,Feminine,White sleeveless dress with ruffle details,Gray strappy sandals,"Straight, fitted","Elegant, simple","Ruffle accents, monochrome",
Pringle of Scotland,Spring 2010,Feminine,"White shorts, white t-shirt, patterned jacket",Beige strappy sandals,"Casual, relaxed","Minimalist, fresh","Light color palette, simple lines",
Nanette Lepore,Spring 2010,Feminine,Teal halter dress,"Large hoop earrings, floral open-toe heels","A-line, flowy","Playful, vibrant","Deep V-neckline, ruffled hem",
Pringle of Scotland,Spring 2010,Feminine,Striped dress with yellow accents,Beige strappy sandals,"Straight, fitted","Modern, chic","Geometric patterns, subtle color pop",
Threeasfour,Spring 2010,Feminine,Sheer black dress with swirl details,Clear platform heels,"Fitted, flowing","Avant-garde, ethereal","Translucent fabric, intricate detailing",
Threeasfour,Spring 2010,Feminine,"Black blazer, sheer leggings",Clear platform heels,"Fitted, sleek","Futuristic, bold","Sheer elements, structured shoulders",
Threeasfour,Spring 2010,Feminine,"Black asymmetrical jacket, black pants",Silver platform heels,"Structured, tailored","Minimalist, contemporary","Unique jacket design, monochrome look",
Threeasfour,Spring 2010,Feminine,Black mini dress with sheer cutouts,Silver platform heels,Bodycon,"Modern, avant-garde","Asymmetrical design, sheer details",
Jenni Kayne,Fall 2010,Feminine,"Striped fur jacket, black shirt, black pencil skirt","Black gloves, gray ankle boots","Tailored, fitted","Chic, modern",Monochrome palette with bold stripes,
Jenni Kayne,Fall 2010,Feminine,"Black short-sleeve dress, navy tights","Green gloves, black ankle boots","Slim, body-hugging","Elegant, minimalist",Simple silhouette with subtle texture,
Jenni Kayne,Fall 2010,Feminine,"Gray blazer, white shirt, black shorts",Blue heels,"Structured, layered","Sophisticated, smart",Mix of tailored and relaxed pieces,
Pringle of Scotland,Spring 2010,Feminine,"White t-shirt, patterned shorts, beige trench coat",Beige strappy sandals,"Layered, structured","Sophisticated, urban","Layering with trench, neutral tones",
Nanette Lepore,Spring 2010,Feminine,"Brown tank top, floral shorts, teal vest with pink lining","Choker necklace, orange strappy heels","Casual, layered","Colorful, youthful","Contrasting colors, open vest",
Nanette Lepore,Spring 2010,Feminine,"Striped top, floral pants, brown trench coat","Orange strappy heels, bracelets","Tailored, layered","Eclectic, bold","Mix of patterns, cinched waist",
Koi Suwannagate,Spring 2010,Feminine,"Beige top, pink floral wrap skirt",Pink open-toe heels,"A-line, fitted","Playful, vibrant","Bright color palette, floral motifs",
Jil Sander,Spring 2010,Feminine,"Dark tailored jacket, black shorts",Patterned heels,"Boxy, fitted","Chic, tailored","Contrasting textures, structured jacket",
Jil Sander,Spring 2010,Feminine,Black dress with beige abstract patches,,"Straight, knee-length","Artistic, modern","Patchwork design, bold contrast",
Jil Sander,Spring 2010,Feminine,"White blazer, white shorts",Black and white heels,"Tailored, short","Minimalist, chic",Double-breasted blazer with large pockets,
Jil Sander,Spring 2010,Feminine,White sleeveless dress with ruffle details,,"Straight, knee-length","Minimalist, sculptural","Ruffle accents, clean lines",
Jil Sander,Spring 2010,Feminine,"White knit dress, sheer overlay",Beige heels,"Fitted, sheer","Modern, ethereal",Sheer overlay adds texture and depth,
Jil Sander,Spring 2010,Feminine,"Black sheer top, black pants",Black heels,"Flowy, sheer","Edgy, contemporary",Contrast between sheer top and solid pants,
Undercover,Spring 2010,Feminine,"Drawstring shirt, orange shorts",Lace-up sandals,"Structured, casual","Sporty, contemporary",Bright shorts add a vibrant touch,
Jil Sander,Spring 2010,Feminine,"Sheer black blouse, black trousers",Black belt,"Tailored, sleek","Minimalist, modern","Sheer fabric, structured tailoring",
Threeasfour,Spring 2010,Feminine,Sheer black dress with ruffle details,Clear platform heels,"Fitted, voluminous","Dramatic, textured","Layered ruffles, sheer overlay",
Koi Suwannagate,Spring 2010,Feminine,"Black mesh jacket, white script pants",Black sandals,"Straight, relaxed","Graphic, modern",Text print on pants,
Koi Suwannagate,Spring 2010,Feminine,"White embroidered jacket, black lace dress",Pink open-toe heels,"Fitted, layered","Textured, chic",Contrasting textures,
Koi Suwannagate,Spring 2010,Feminine,"White short-sleeve cardigan, floral print dress",Pink sandals,"A-line, soft","Floral, delicate",Soft floral patterns,
Koi Suwannagate,Spring 2010,Feminine,Sheer dress with floral appliqué,Black open-toe heels,"Straight, fitted","Delicate, floral",Soft fabric with bold floral details,
Koi Suwannagate,Spring 2010,Feminine,"Sheer top with floral appliqué, satin trousers",Pink open-toe heels,"Relaxed, fluid","Elegant, contrast",Sheer top with structured floral design,
Koi Suwannagate,Spring 2010,Feminine,Pleated dress with floral appliqué,"Pink open-toe heels, gold bracelet","A-line, flowy","Romantic, ethereal",Textured fabric with soft pleats,
Koi Suwannagate,Spring 2010,Feminine,"Sheer top with 3D floral appliqué, patterned cropped pants",Black strappy sandals,"Slim, fitted","Artistic, modern","Textured floral details, monochrome contrast",
Koi Suwannagate,Spring 2010,Feminine,"One-shoulder top with floral detail, printed satin pants","Bracelet, strappy heels","Relaxed, tapered","Elegant, chic","Asymmetrical neckline, floral and stripe print",
Jenni Kayne,Fall 2010,Feminine,Black sleeveless dress,Gray ankle strap heels,Fit and flare,"Chic, classic",Simple elegance with a focus on silhouette,
Jenni Kayne,Fall 2010,Feminine,"Gray coat with fur collar, dark tights","Brown gloves, black lace-up boots","Straight, structured","Sophisticated, cozy",Textured collar adds interest,
Pringle of Scotland,Spring 2010,Feminine,"White sheer top, white cable knit cardigan, white asymmetrical skirt",Brown belt,"Layered, flowing","Textured, airy",Mix of textures with sheer and knit,
Nanette Lepore,Spring 2010,Feminine,Multicolored sleeveless dress,Teal open-toe heels,"Fitted, knee-length","Vibrant, artistic",Features a front zipper and abstract print,
Christian Cota,Fall 2010,Feminine,"Black textured coat, striped dress, patterned skirt",Black lace-up boots,"A-line, layered","Edgy, eclectic",Mix of textures and patterns,
Band of Outsiders,Fall 2010,Feminine,"Shearling-lined leather jacket, gray turtleneck, patterned skirt","Sunglasses, black tights, brown shoes","Layered, structured","Cozy, chic","Mixed patterns, warm layers",
Band of Outsiders,Fall 2010,Feminine,Yellow polka dot dress,"Black tights, brown shoes","Draped, fitted","Vintage-inspired, playful","Bold print, retro vibe",
Band of Outsiders,Fall 2010,Feminine,"Striped sleeveless blouse, gray cuffed trousers","Belt, fur-trimmed gloves","Relaxed, tailored","Casual, eclectic","Layered textures, playful accessories",
Band of Outsiders,Fall 2010,Feminine,"Beige short-sleeve dress, black leggings",Platform sandals,"Straight, minimal","Casual, contemporary","Neutral tones, simple lines",
Band of Outsiders,Fall 2010,Feminine,"Gray double-breasted blazer, gray trousers","Gray scarf, sunglasses","Tailored, structured","Chic, sophisticated","Monochrome palette, modern tailoring",
Band of Outsiders,Fall 2010,Feminine,"Brown knit cardigan, plaid trousers","Blue sunglasses, brown scarf","Relaxed, layered","Cozy, vintage-inspired","Warm tones, casual elegance",
Band of Outsiders,Fall 2010,Feminine,"Black toggle coat, striped shirt, rolled pants","Sunglasses, hood","Oversized, layered","Eclectic, urban","Mix of formal and casual, statement coat",
Band of Outsiders,Fall 2010,Feminine,"Black blazer, yellow checkered shirt, gray skirt","Blue shoes, black tights","Tailored, layered","Preppy, vintage","Contrasting patterns, casual footwear",
Nanette Lepore,Spring 2010,Feminine,"Beige top with colorful neckline, olive green pants","Yellow open-toe heels, blue belt","Relaxed, tapered","Eclectic, bohemian",Colorful crochet detail on top,
Undercover,Spring 2010,Feminine,"White oversized tunic, black tights","Orange visor, orange wrap sandals","Voluminous, relaxed","Futuristic, avant-garde","Playful use of volume, contrast with fitted tights",
Undercover,Spring 2010,Feminine,"White oversized sweater dress, black tights","Orange visor, orange wrap sandals","Loose, cocoon","Minimalist, modern",Simple silhouette with statement accessories,
Undercover,Spring 2010,Feminine,"White blouse, black pants","Orange visor, black strappy sandals","Structured, tailored","Chic, contemporary",Crisp white top with sleek black pants,
Undercover,Spring 2010,Feminine,"White asymmetrical tunic, black pants","Orange-tinted glasses, strappy sandals","Loose, relaxed","Minimalist, avant-garde","Organic lines, asymmetrical hem",
Undercover,Spring 2010,Feminine,"Beige suit jacket, beige cropped pants","Orange-tinted glasses, small handbag, strappy sandals","Tailored, cropped","Modern, utilitarian","Cinch waist detail, casual elegance",
Undercover,Spring 2010,Feminine,"Brown bandeau top, beige cropped pants","Orange-tinted glasses, large tote bag, strappy sandals","Relaxed, sporty","Casual, chic","Sporty elements, contrasting textures",
Undercover,Spring 2010,Feminine,"Striped top, layered skirt",Lace-up sandals,"Slim, layered","Eclectic, modern",Playful use of stripes and layers,
Threeasfour,Spring 2010,Feminine,White asymmetrical sheer dress,"Silver scissors, platform heels","Flowy, layered","Futuristic, ethereal","Diagonal stripes, sheer fabric",
Threeasfour,Spring 2010,Feminine,Black bodysuit with sheer panels,Platform heels,Form-fitting,"Modern, sleek","Geometric cutouts, sheer detailing",
Band of Outsiders,Fall 2010,Feminine,"Gray fur coat, blue checkered shirt, black trousers","Belt, hoop earrings","Straight, relaxed","Casual, chic","Mix of textures, office setting",
Derek Lam,Spring 2010,Feminine,Color-block mini dress,"Black handbag, mint cut-out heels","A-line, fitted","Elegant, fresh","Soft pastel colors, structured bodice",
Jenni Kayne,Fall 2010,Feminine,"Black sleeveless top, dark trousers","Black gloves, black strappy heels","Tailored, sleek","Chic, sophisticated","Textured fabric, bold lip color",
Threeasfour,Spring 2010,Feminine,Black bodysuit with sheer panels,"Platform heels, wire shoulder accessory",Form-fitting,"Avant-garde, bold","Asymmetrical shoulder design, sheer elements",
Nanette Lepore,Spring 2010,Feminine,Blue ruffled dress,Floral peep-toe ankle boots,"Flowy, asymmetrical","Romantic, elegant","Ruffled details, vibrant footwear",
Nanette Lepore,Spring 2010,Feminine,Multicolored draped mini dress,Red open-toe heels,"Draped, fitted","Bold, colorful","Abstract print, asymmetrical hem",
Nanette Lepore,Spring 2010,Feminine,"Striped mini dress, striped cardigan with tassels",Yellow open-toe heels,"Straight, relaxed","Playful, eclectic","Colorful tassels, mixed patterns",
Jenni Kayne,Fall 2010,Feminine,"Gray asymmetrical jacket, gray midi skirt",Black strappy heels,"Fitted, streamlined","Monochrome, modern","Zipper details, cohesive color palette",
Threeasfour,Spring 2010,Feminine,"Black blazer, sheer bandeau top, black leggings",Silver platform heels,"Fitted, sleek","Futuristic, edgy","Sheer panels, bold eye makeup",
Derek Lam,Spring 2010,Feminine,"Polka dot dress, turquoise blouse","Brown belt, brown shoes","Fitted, asymmetric","Playful, retro",Mix of patterns with bold colors,
Jenni Kayne,Fall 2010,Feminine,"Dark sleeveless blazer, white shirt, dark skirt","Blue gloves, blue tights, blue strappy heels","Structured, layered","Classic, elegant","Contrasting colors, tailored fit",
Jenni Kayne,Fall 2010,Feminine,"Black sleeveless coat, purple pants",Black strappy sandals,"Longline, layered","Modern, bold",Contrast between dark top and bright pants,
Derek Lam,Spring 2010,Feminine,"Printed halter top, high-waisted white trousers","Sunglasses, brown lace-up shoes","Relaxed, tailored","Retro, sophisticated","Geometric print, wide-leg pants",
Derek Lam,Spring 2010,Feminine,"Teal dress, tan cropped jacket",Black sandals,"Structured, layered","Bold, vibrant",Color blocking with contrasting textures,
Derek Lam,Spring 2010,Feminine,"White blouse, brown suede skirt","Two-tone handbag, black oxford shoes",A-line,"Retro, chic","Textured fabrics, classic color contrast",
Derek Lam,Spring 2010,Feminine,"Teal sleeveless top, black shorts","Tan clutch, two-tone oxford shoes",Straight,"Modern, sleek","Pop of color, minimal detailing",
Derek Lam,Spring 2010,Feminine,"Tan suede top, teal skirt",,Fitted,"Contemporary, elegant","Color blocking, structured lines",
Derek Lam,Spring 2010,Feminine,Color-block mini dress,Black cut-out heels,"A-line, fitted","Chic, modern","V-neckline, pastel tones",
Derek Lam,Spring 2010,Feminine,White asymmetrical dress,"Black belt, strappy sandals","Flowy, minimal","Chic, modern",Contrasting scarf adds texture,
Frank Tell,Fall 2011,Feminine,"Gray knit sweater, lace and satin skirt",,"Long, flowing","Romantic, bohemian",Combination of lace and knit with fur detail,
Frank Tell,Fall 2011,Feminine,"Textured knit vest, sheer blouse, gray culottes",,"Layered, asymmetrical","Eclectic, deconstructed",Mix of textures with layered knit,
Frank Tell,Fall 2011,Feminine,"Patchwork knit sweater, gray trousers",,"Oversized, relaxed","Textured, earthy",Chunky knit with fringe details,
Francesco Scognamiglio,Spring 2011,Feminine,Black sleeveless mini dress with embellished collar,Black platform heels,"Fitted, sleek","Chic, modern","Decorative collar, zipper detail",
Marni,Fall 2011,Feminine,Patterned dress,"Large earrings, gloves, brown handbag, platform shoes","Fitted, cinched waist","Eclectic, retro","Monochrome look, subtle patterns",
